source,target,pathway_name,prob,pval
EG,SM,NOTCH,0.0003480037332825999,0.0
EG,EG,NOTCH,0.015197427178884317,0.0
EG,Keratinocyte,NOTCH,0.0005761107782836612,0.0
EG,Immune,NOTCH,0.0036850424553865765,0.0
Keratinocyte,EG,NOTCH,0.0005761107782836613,0.0
Immune,FIB,NOTCH,0.000564786208678485,0.0
Immune,ENDO,NOTCH,0.0009302758210110927,0.0
Immune,SM,NOTCH,0.0008099123059328328,0.0
Immune,EG,NOTCH,0.0036850424553865765,0.0
FIB,EG,FN1,0.0024866713795056177,0.0
FIB,Keratinocyte,FN1,0.005122260318179877,0.0
SM,FIB,FN1,0.0025073549707434325,0.0
SM,SM,FN1,0.011933332281724397,0.0
SM,EG,FN1,0.010520677300908115,0.0
EG,FIB,FN1,0.0013917153420840785,0.0
EG,ENDO,FN1,0.0008549976645293219,0.0
EG,SM,FN1,0.003851989820487942,0.0
EG,EG,FN1,0.013825078146536036,0.0
FIB,SM,MHC-II,0.002595323096024588,0.0
FIB,Immune,MHC-II,0.00015116986032420634,0.0
ENDO,Immune,MHC-II,0.003644543419737507,0.0
SM,FIB,MHC-II,0.002595323096024588,0.0
EG,EG,MHC-II,0.022430788082381393,0.0
Keratinocyte,Immune,MHC-II,0.0023114794466873117,0.0
Immune,FIB,MHC-II,0.00015116986032420637,0.0
Immune,ENDO,MHC-II,0.003644543419737507,0.0
Immune,Keratinocyte,MHC-II,0.0023114794466873117,0.0
Immune,Immune,MHC-II,0.006386563301533743,0.0
FIB,FIB,CXCL,0.000711590005422704,0.0
FIB,ENDO,CXCL,0.002322509798263006,0.0
FIB,SM,CXCL,0.0005429322733774734,0.0
FIB,EG,CXCL,0.0023224462042292747,0.0
ENDO,FIB,CXCL,0.001930049427698269,0.0
ENDO,ENDO,CXCL,0.0033418022239489467,0.0
ENDO,SM,CXCL,0.0009389992700110153,0.0
ENDO,Immune,CXCL,0.0030563590178239865,0.0
SM,FIB,CXCL,0.0018083724757245597,0.0
SM,SM,CXCL,0.0035107231257799527,0.0
SM,EG,CXCL,0.0018621406422992168,0.0
EG,FIB,CXCL,0.003876155567786399,0.0
EG,ENDO,CXCL,0.000915019050032475,0.0
EG,SM,CXCL,0.0038568797773458714,0.0
EG,EG,CXCL,0.007532309299651869,0.0
Keratinocyte,Keratinocyte,CXCL,5.4893044051825086e-05,0.0
Keratinocyte,Immune,CXCL,0.0001496084966081447,0.0
Immune,FIB,CXCL,0.0012608030035976036,0.0
Immune,ENDO,CXCL,0.0007453251126586733,0.0
Immune,EG,CXCL,0.0005362151281571642,0.0
Immune,Keratinocyte,CXCL,8.781886726968519e-05,0.0
Immune,Immune,CXCL,0.0013680003231391737,0.0
FIB,FIB,ANGPTL,0.0020671709703455068,0.0
FIB,SM,ANGPTL,0.0033096622616526792,0.0
FIB,EG,ANGPTL,0.0029986545459064822,0.0
ENDO,SM,ANGPTL,0.0010108962253047432,0.0
SM,FIB,ANGPTL,0.002689091988787199,0.0
