"interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
"SPP1_ITGA8_ITGB1","SPP1","Spp1","ITGA8_ITGB1","","","","","PMID: 21907263","Secreted Signaling","Spp1  - (Itga8+Itgb1)",TRUE,"Spp1","Osteopontin","Secreted","Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein","cytokine",FALSE,"Itga8, Itgb1","Integrin alpha chain, Integrin beta chain","Cell membrane, Membrane, Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell surface, Cell junction","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Glycoprotein, Disease variant, Developmental protein, Signal, Integrin, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Calcium, Cleavage on pair of basic residues, Cell adhesion, Repeat, Host-virus interaction, Endosome, Host cell receptor for virus entry, Magnesium, Alternative splicing, Cell projection, Phosphoprotein, Direct protein sequencing, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"SPP1_ITGA5_ITGB1","SPP1","Spp1","ITGA5_ITGB1","","","","","PMID: 21907263","Secreted Signaling","Spp1  - (Itga5+Itgb1)",TRUE,"Spp1","Osteopontin","Secreted","Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein","cytokine",FALSE,"Itga5, Itgb1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"NAMPT_ITGA5_ITGB1","VISFATIN","Nampt","ITGA5_ITGB1","","","","","PMID: 28490838","Secreted Signaling","Nampt  - (Itga5+Itgb1)",TRUE,"Nampt","NAPRTase","Cytoplasm, Secreted, Nucleus","Glycosyltransferase, Reference proteome, Biological rhythms, Pyridine nucleotide biosynthesis, Nucleus, Phosphoprotein, Secreted, Cytoplasm, 3D-structure, Transferase, Cytokine, Acetylation","",,"Itga5, Itgb1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"ANGPTL2_ITGA5_ITGB1","ANGPTL","Angptl2","ITGA5_ITGB1","","","","","PMID: 24478758","Secreted Signaling","Angptl2  - (Itga5+Itgb1)",TRUE,"Angptl2","","Secreted","Coiled coil, Signal, Reference proteome, Disulfide bond, Secreted, Alternative splicing, 3D-structure, Glycoprotein","",,"Itga5, Itgb1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"ANGPTL4_ITGA5_ITGB1","ANGPTL","Angptl4","ITGA5_ITGB1","","","","","PMID: 30049845","Secreted Signaling","Angptl4  - (Itga5+Itgb1)",TRUE,"Angptl4","","Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein","",,"Itga5, Itgb1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"ANGPTL4_ITGAV_ITGB3","ANGPTL","Angptl4","ITGAV_ITGB3","","","","","PMID: 30049845","Secreted Signaling","Angptl4  - (Itgav+Itgb3)",TRUE,"Angptl4","","Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein","",,"Itgav, Itgb3","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell membrane, Cell junction, Postsynaptic cell membrane, Lamellipodium membrane, Cell projection, Synapse","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Cell projection, Disease variant, Phosphoprotein, Postsynaptic cell membrane, Synapse","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"ANGPTL4_CDH5","ANGPTL","Angptl4","Cdh5","","","","","PMID: 30049845","Secreted Signaling","Angptl4  - Cdh5",FALSE,"Angptl4","","Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein","",,"Cdh5","","Cell membrane, Cell junction","Membrane, Transmembrane, Alternative splicing, Glycoprotein, Signal, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Cell junction, Cell adhesion, Repeat","Miscellaneous","CadherinClassic;StructuralAndAdhesion","","",TRUE,"CellChatDB v1"
"ANGPTL4_CDH11","ANGPTL","Angptl4","Cdh11","","","","","PMID: 30049845","Secreted Signaling","Angptl4  - Cdh11",FALSE,"Angptl4","","Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein","",,"Cdh11","","Cell membrane","Membrane, Intellectual disability, Transmembrane, Alternative splicing, Deafness, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, Calcium, Cleavage on pair of basic residues, Cell adhesion, Repeat","Miscellaneous","CadherinClassic;StructuralAndAdhesion","","",,"CellChatDB v1"
"ANGPTL4_SDC2","ANGPTL","Angptl4","Sdc2","","","","","PMID: 29017031","Secreted Signaling","Angptl4  - Sdc2",FALSE,"Angptl4","","Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein","",,"Sdc2","Syndecan proteoglycan","Membrane","Membrane, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Differentiation, Heparan sulfate, Transmembrane, Neurogenesis, 3D-structure, Proteoglycan, Glycoprotein","Receptors","Other_receptors;Syndecan","Adhesion receptor","secreted",TRUE,"CellChatDB v1"
"ANGPTL4_SDC3","ANGPTL","Angptl4","Sdc3","","","","","PMID: 29017031","Secreted Signaling","Angptl4  - Sdc3",FALSE,"Angptl4","","Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein","",,"Sdc3","Syndecan proteoglycan","Cell membrane","Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Heparan sulfate, Proteoglycan, Glycoprotein","","","","",,"CellChatDB v1"
