"Cdh1"
"Psmb8"
"Btnl2"
"Tslp"
"Pou5f1"
"Ndfip1"
"Nr3c1"
"Smad4"
"Pmaip1"
"Smad2"
"Pdgfrb"
"Csf1r"
"Fas"
"Jak2"
"Rnaseh2c"
"Rela"
"Bad"
"Smc3"
"Nr0b1"
"Chuk"
"Bbs4"
"Cdk2"
"Psmd13"
"Hras"
"Rptor"
"Ly96"
"Nrp1"
"Xiap"
"Uimc1"
"Cd28"
"Casp8"
"Orc2"
"Rev1"
"Psmd1"
"Pdcd1"
"Mlph"
"Tnfrsf11a"
"Mcm6"
"ENSMUSP00000027645"
"Nr5a2"
"Rbbp5"
"Rgs16"
"Lamc1"
"Vangl2"
"Plxna2"
"Bmi1"
"Psmb7"
"Tsc1"
"Psmd5"
"Psmd14"
"Notch1"
"Traf2"
"Grin1"
"Snap25"
"Rad51"
"Rbck1"
"Sall4"
"Psma7"
"Map1lc3a"
"Skil"
"Pik3ca"
"Ccna2"
"Ptpn22"
"Nras"
"Lef1"
"Lamtor2"
"Cd1d1"
"Nfkb1"
"Nbn"
"Rad23b"
"Vcp"
"ENSMUSP00000030237"
"Cdc42"
"Pla2g5"
"Phc2"
"Psmb2"
"Trappc3"
"Sema3a"
"Psmc2"
"Cdk5"
"Dffa"
"Mad2l2"
"Orc5"
"Dffb"
"Prkcz"
"Dvl1"
"Cdc7"
"Mphosph9"
"Rilpl2"
"Cul1"
"Klrk1"
"Klra1"
"Lrp6"
"Grin2a"
"Bhlhe41"
"Kras"
"Atg7"
"Vgll4"
"Tnfrsf1a"
"Plin1"
"Nfkbib"
"Psmc4"
"Psma1"
"Pak1"
"Stx4a"
"Bax"
"Scnn1b"
"Fadd"
"Vgll1"
"Eras"
"Hdac6"
"Gata1"
"Dynlt3"
"Pak3"
"Irak1"
"Psmd10"
"Vsig1"
"Tnks"
"Ikbkb"
"Sap30"
"Orc6"
"Il15"
"Gab1"
"Gnao1"
"Bbs2"
"Pik3r2"
"Rab3a"
"Psmb10"
"Mre11a"
"Dscaml1"
"Rab27a"
"Nedd4"
"Tcf12"
"Psma4"
"Smad3"
"Pik3cb"
"Mras"
"Ptgs2"
"Myd88"
"Prkar2a"
"Nploc4"
"Crlf2"
"H2-DMa"
"Snrpd2"
"Jarid2"
"Rag2"
"Brca2"
"Cipc"
"Skp1a"
"Lyn"
"Pvr"
"Tab3"
"Map3k7"
"Rbpj"
"H2-Ab1"
"Map2k4"
"Cbl"
"Psmd7"
"Bag2"
"Rras"
"H2-DMb2"
"Mcl1"
"Gria1"
"Smc1a"
"Sos2"
"Fanci"
"Fancd2"
"Tlr4"
"Hist1h1c"
"H2-Aa"
"Btnl9"
"Arntl"
"Tapbpl"
"Smc4"
"Orc3"
"Psen1"
"Igsf3"
"Ctnna1"
"Psmd8"
"Rictor"
"Dnmt3b"
"Jaml"
"Lrrk2"
"Cd200r1"
"ENSMUSP00000054270"
"Ticam1"
"Bbs1"
"Diras2"
"Diras1"
"Ifnb1"
"Pik3r1"
"Vti1b"
"Zfpm1"
"F830045P16Rik"
"Ptpn11"
"Six1"
"Socs3"
"Mcm3"
"Cbfb"
"Tead1"
"Syk"
"Sirpb1c"
"Mcm2"
"Hist1h1a"
"Grin2b"
"Tgfbr2"
"Keap1"
"Vav2"
"Pik3cg"
"ENSMUSP00000063644"
"Arhgdia"
"Irs1"
"Cd48"
"Ctnnd1"
"Rtkn"
"Ilf3"
"Elob"
"Per2"
"Stat1"
"Ep300"
"Rspo2"
"Rarb"
"Sos1"
"Cd8a"
"Rab27b"
"Yap1"
"Rras2"
"Cebpb"
"Esr1"
"Cd8b1"
"Mdm4"
"Btrc"
"Ash2l"
"Ywhae"
"Psmc3"
"Myod1"
"Nfkb2"
"H2-Q1"
"Axin1"
"Clock"
"Gria2"
"Rnf2"
"Efna5"
"Il34"
"Gnb5"
"Hist3h2ba"
"Rxra"
"Klk1b4"
"H2-T22"
"Tank"
"Hist1h2ab"
"Tcf4"
"Rag1"
"Il15ra"
"Ttc8"
"Rph3a"
"Apc"
"Phc1"
"Ubtf"
"Tnfrsf11b"
"Htt"
"Rnase1"
"Rac1"
"Hist1h3g"
"Scnn1a"
"Ezh2"
"Klk1b3"
"Ap2s1"
"Pxn"
"Hist1h4j"
"Klra3"
"Smarcc1"
"Klra2"
"Nsfl1c"
"Cntn4"
"Snrpg"
"Dok1"
"Cry2"
"Psma5"
"Sirpb1b"
"Sumo1"
"Src"
"Ap1g1"
"Hba-a2"
"Grb10"
"Birc2"
"Cdc6"
"Cbx1"
"Ccnd1"
"Mesd"
"Shc1"
"Relb"
"Rapgef1"
"Raet1d"
"Mta2"
"Skp2"
"Prkce"
"Tsc2"
"Rab18"
"Rhog"
"Bcl2a1a"
"Smarca4"
"Mafb"
"Sox2"
"Sirpb1a"
"Ube2n"
"Fyn"
"Dync1i2"
"Rybp"
"Plcg1"
"Smarce1"
"Psmb3"
"Sirpa"
"Per3"
"Ube4b"
"Mtor"
"Cdk5r1"
"Gabpb1"
"B2m"
"Rpl11"
"Hdac1"
"Trappc1"
"Stxbp3"
"Nfe2l2"
"H2-T23"
"Orc1"
"Arnt"
"Sqstm1"
"Rps27a"
"Camk2a"
"Smc2"
"Ywhaq"
"Ighg2c"
"Smarcc2"
"Kitl"
"Tcf3"
"Pcdh15"
"Cdh23"
"Pik3cd"
"Ephb2"
"Arid1a"
"Rnh1"
"ENSMUSP00000102169"
"Dab1"
"Ngf"
"Eed"
"Psmd4"
"Ccne1"
"Bbs7"
"Trp53"
"Cbx5"
"Map3k1"
"Rasa1"
"Mrtfa"
"Rnaseh2a"
"Znrf3"
"Nr3c2"
"Ptk2"
"Bcl2l11"
"Max"
"Btn2a2"
"Ap1s1"
"Lmo2"
"Slamf7"
"Diablo"
"Tcf7l2"
"Mapk8"
"Trappc2"
"Pdcd1lg2"
"Bcl2"
"H2-T24"
"Wdr5"
"Itsn1"
"Cblb"
"Fhl1"
"Eloc"
"Diaph1"
"Arid1b"
"Hdac7"
"Fgfr2"
"Csnk1e"
"Mlkl"
"Myo5a"
"Cd101"
"Igsf9b"
"Ighe"
"Becn1"
"Stat3"
"Polr1e"
"Tab2"
"Lrrc37a"
"Abhd5"
"Pard3"
"Ctnna2"
"Skint1"
"Psma3"
"Lck"
"Mcm5"
"Eya1"
"Stk35"
"ENSMUSP00000126796"
"Sap25"
"Vldlr"
"Inpp5d"
"Snrpe"
"Sin3a"
"ENSMUSP00000129491"
"Bcar1"
"Psma2"
"Lamtor3"
"Hspg2"
"Nup50"
"Tcrg-C3"
"Nedd4l"
"Dbf4"
"Psmb9"
"H2-D1"
"ENSMUSP00000136791"
"Cdc45"
"Cd200"
"ENSMUSP00000134652"
