"","MGI.symbol","Symbol"
"8358","Nbea","nbeaa"
"8359","Bco2","bco2l"
"8360","Bco2","bco2b"
"8361","Pou6f2","pou6f2"
"8362","Creb3l1","creb3l1"
"8363","Stap2","stap2a"
"8364","Atp11a","atp11a"
"8365","Mink1","mink1"
"8366","Abca1","abca1b"
"8367","Wdr27","wdr27"
"8368","Smarcd2","smarcd2"
"8369","Shank1","shank1"
"8370","Rrp9","rrp9"
"8371","Clstn1","clstn1"
"8372","Tmem30a","tmem30ab"
"8373","Lasp1","lasp1"
"8374","Mn1","mn1b"
"8375","Zfp488","prdm8"
"8376","Dyrk1b","dyrk1b"
"8377","Klhl15","klhl15"
"8378","Calr","calr"
"8379","Ndufaf6","ndufaf6"
"8380","Saraf","saraf"
"8381","Frmd3","frmd3"
"8382","Nsmce1","nsmce1"
"8383","Esrra","esrra"
"8384","Cul4a","cul4a"
"8385","Tmem59","tmem59"
"8386","Plxna3","plxna3"
"8387","Dnajc4","dnajc4"
"8388","Dtx3","zgc:66440"
"8389","Sh2d7","si:ch211-112g6.4"
"8390","Ippk","ippk"
"8391","Ect2l","ccdc28a"
"8392","Unc80","unc80"
"8393","Prmt1","prmt1"
"8394","Rprd1b","rprd1b"
"8395","Lamtor2","lamtor2"
"8396","Gga3","gga3b"
"8397","Iqsec1","iqsec1b"
"8398","Fam177a2","zgc:153383"
"8399","Camk4","camk4"
"8400","Lvrn","si:ch211-276a23.5"
"8401","Acacb","acacb"
"8402","Hcn2","hcn2b"
"8403","Pik3ip1","pik3ip1"
"8404","Crybb1","crybb1"
"8405","Setd3","setd3"
"8406","Oxnad1","oxnad1"
"8407","Atxn10","atxn10"
"8408","Arglu1","arglu1a"
"8409","Nmt1","nmt1a"
"8410","Nmt1","nmt1b"
"8411","Hif1a","hif1ab"
"8412","Clic3","clic3"
"8413","Phf5a","phf5a"
"8414","Hint2","hint2"
"8415","Slc35a5","slc35a5"
"8416","Vps52","vps52"
"8417","Timp4","timp4.3"
"8418","Timp4","timp4.2"
"8419","L2hgdh","l2hgdh"
"8420","Hs6st3","hs6st3a"
"8421","Hs6st3","hs6st3b"
"8422","Gm6525","rpl36a"
"8423","Bnip2","bnip2"
"8424","Hbegf","hbegfb"
"8425","Gpr137b","gpr137bb"
"8426","Ilk","ilk"
"8427","Hpcal1","hpcal1"
"8428","Eef2kmt","eef2kmt"
"8429","Tmem161a","tmem161a"
"8430","Tmem229b","tmem229b"
"8431","Sac3d1","si:zfos-452g4.1"
"8432","Fam161a","fam161a"
"8433","Gtf2h5","gtf2h5"
"8434","Extl3","extl3"
"8435","Tgm2","tgm2a"
"8436","Hpse","hpse"
"8437","Rabgap1l","rabgap1l"
"8438","Cnih1","cnih1"
"8439","Mitd1","mitd1"
"8440","Fut9","si:ch1073-440p11.2"
"8441","Fut9","ft1"
"8442","Nampt","si:dkey-145c18.3"
"8443","Nampt","si:dkey-145c18.2"
"8444","Cenpp","cenpp"
"8445","Rpa1","rpa1"
"8446","Trpc2","trpc2b"
"8447","Trpc2","trpc2a"
"8448","Slc35e4","slc35e4"
"8449","Terf1","terf1"
"8450","Tekt2","tekt2"
"8451","Cltc","cltcb"
"8452","Arhgap19","arhgap19"
"8453","Pax7","pax7b"
"8454","Stub1","stub1"
"8455","Cflar","cflara"
"8456","Akt3","akt3a"
"8457","Nuggc","nuggc.1"
"8458","Nuggc","si:dkeyp-85e10.3"
"8459","Nuggc","nuggc.2"
